Condition,Replication,Parameter,ESS,RHAT
Study1_Tb3_N500,1,Level2Mean[1],19549,1
Study1_Tb3_N500,1,Level2Mean[2],20467,1
Study1_Tb3_N500,1,Level2Mean[3],26102,1
Study1_Tb3_N500,1,Level2Mean[4],32133,1
Study1_Tb3_N500,1,Level2Mean[5],318,1
Study1_Tb3_N500,1,Level2Mean[6],170,1
Study1_Tb3_N500,1,Level2Mean[7],294,1.0001
Study1_Tb3_N500,1,Level2Mean[8],214,1
Study1_Tb3_N500,1,Level2Sigma[1],1298,1.0001
Study1_Tb3_N500,1,Level2Sigma[2],830,1
Study1_Tb3_N500,1,Level2Sigma[3],3082,1.0002
Study1_Tb3_N500,1,Level2Sigma[4],9220,1
Study1_Tb3_N500,1,Level2Sigma[5],192,1.032
Study1_Tb3_N500,1,Level2Sigma[6],143,1.0008
Study1_Tb3_N500,1,Level2Sigma[7],154,1.0001
Study1_Tb3_N500,1,Level2Sigma[8],128,1.0231
Study1_Tb3_N500,1,"sigma_innovation[1,1]",526,1
Study1_Tb3_N500,1,"sigma_innovation[2,1]",528,1
Study1_Tb3_N500,1,"sigma_innovation[1,2]",528,1
Study1_Tb3_N500,1,"sigma_innovation[2,2]",349,1.0001
Study1_Tb3_N500,2,Level2Mean[1],19499,1
Study1_Tb3_N500,2,Level2Mean[2],20730,1.0001
Study1_Tb3_N500,2,Level2Mean[3],25257,1
Study1_Tb3_N500,2,Level2Mean[4],30695,1
Study1_Tb3_N500,2,Level2Mean[5],170,1.0041
Study1_Tb3_N500,2,Level2Mean[6],221,1.0006
Study1_Tb3_N500,2,Level2Mean[7],185,1.0081
Study1_Tb3_N500,2,Level2Mean[8],232,1.0109
Study1_Tb3_N500,2,Level2Sigma[1],1178,1.0007
Study1_Tb3_N500,2,Level2Sigma[2],1403,1.0005
Study1_Tb3_N500,2,Level2Sigma[3],3679,1.0004
Study1_Tb3_N500,2,Level2Sigma[4],9057,1.0001
Study1_Tb3_N500,2,Level2Sigma[5],151,1.0118
Study1_Tb3_N500,2,Level2Sigma[6],147,1.0007
Study1_Tb3_N500,2,Level2Sigma[7],180,1
Study1_Tb3_N500,2,Level2Sigma[8],187,1.0142
Study1_Tb3_N500,2,"sigma_innovation[1,1]",345,1.0003
Study1_Tb3_N500,2,"sigma_innovation[2,1]",407,1.0041
Study1_Tb3_N500,2,"sigma_innovation[1,2]",407,1.0041
Study1_Tb3_N500,2,"sigma_innovation[2,2]",504,1.0015
Study1_Tb3_N500,3,Level2Mean[1],18196,1
Study1_Tb3_N500,3,Level2Mean[2],21298,1
Study1_Tb3_N500,3,Level2Mean[3],27627,1
Study1_Tb3_N500,3,Level2Mean[4],32856,1
Study1_Tb3_N500,3,Level2Mean[5],130,1.0037
Study1_Tb3_N500,3,Level2Mean[6],157,1.0076
Study1_Tb3_N500,3,Level2Mean[7],210,1.0166
Study1_Tb3_N500,3,Level2Mean[8],255,1.0008
Study1_Tb3_N500,3,Level2Sigma[1],869,1.0008
Study1_Tb3_N500,3,Level2Sigma[2],1030,1.0017
Study1_Tb3_N500,3,Level2Sigma[3],5024,1.0001
Study1_Tb3_N500,3,Level2Sigma[4],11890,1.0001
Study1_Tb3_N500,3,Level2Sigma[5],159,1.0007
Study1_Tb3_N500,3,Level2Sigma[6],141,1.005
Study1_Tb3_N500,3,Level2Sigma[7],186,1.0015
Study1_Tb3_N500,3,Level2Sigma[8],181,1.0053
Study1_Tb3_N500,3,"sigma_innovation[1,1]",249,1.0014
Study1_Tb3_N500,3,"sigma_innovation[2,1]",557,1.0043
Study1_Tb3_N500,3,"sigma_innovation[1,2]",557,1.0043
Study1_Tb3_N500,3,"sigma_innovation[2,2]",369,1.0016
Study1_Tb3_N500,4,Level2Mean[1],15097,1
Study1_Tb3_N500,4,Level2Mean[2],17399,1
Study1_Tb3_N500,4,Level2Mean[3],23975,1
Study1_Tb3_N500,4,Level2Mean[4],31069,1
Study1_Tb3_N500,4,Level2Mean[5],184,1.0176
Study1_Tb3_N500,4,Level2Mean[6],178,1.0667
Study1_Tb3_N500,4,Level2Mean[7],173,1.0541
Study1_Tb3_N500,4,Level2Mean[8],203,1.0211
Study1_Tb3_N500,4,Level2Sigma[1],997,1.0027
Study1_Tb3_N500,4,Level2Sigma[2],624,1.0214
Study1_Tb3_N500,4,Level2Sigma[3],3202,1.0019
Study1_Tb3_N500,4,Level2Sigma[4],5384,1.003
Study1_Tb3_N500,4,Level2Sigma[5],183,1.0477
Study1_Tb3_N500,4,Level2Sigma[6],138,1.0055
Study1_Tb3_N500,4,Level2Sigma[7],168,1.0003
Study1_Tb3_N500,4,Level2Sigma[8],193,1.0007
Study1_Tb3_N500,4,"sigma_innovation[1,1]",443,1.0088
Study1_Tb3_N500,4,"sigma_innovation[2,1]",430,1.0106
Study1_Tb3_N500,4,"sigma_innovation[1,2]",430,1.0106
Study1_Tb3_N500,4,"sigma_innovation[2,2]",397,1.0206
Study1_Tb3_N500,5,Level2Mean[1],20766,1
