Parameter,Min_ESS,Q25_ESS,Median_ESS,Mean_ESS,Max_ESS,Min_RHAT,Median_RHAT,Max_RHAT,N_RHAT_gt_1.10,N_RHAT_gt_1.05,N_ESS_lt_200,N_ESS_lt_100,N_reps
Level2Mean[1],13283,17882.75,18806,18939.2,23352,1,1,1.0004,0,0,0,0,100
Level2Mean[2],16562,19338.75,20485.5,20529.1,25422,1,1,1.0004,0,0,0,0,100
Level2Mean[3],20940,25827.25,26939,26815.2,32207,1,1,1.0002,0,0,0,0,100
Level2Mean[4],28602,31422.5,32401.5,32253.4,34720,1,1,1.0001,0,0,0,0,100
Level2Mean[5],78,116.75,136.5,154.9,438,1,1.0055,1.0594,0,3,83,11,100
Level2Mean[6],81,133.75,161,163.2,297,1,1.0051,1.0694,0,2,85,3,100
Level2Mean[7],119,179,206,213.8,449,1,1.0031,1.0541,0,1,39,0,100
Level2Mean[8],143,195,227,244.8,478,1,1.0021,1.0382,0,0,28,0,100
Level2Sigma[1],474,748,926.5,975.1,1956,1,1.0013,1.017,0,0,0,0,100
Level2Sigma[2],447,873,1170,1227.5,2512,1,1.001,1.0214,0,0,0,0,100
Level2Sigma[3],1559,2375.5,3024.5,3179.1,6210,1,1.0005,1.0058,0,0,0,0,100
Level2Sigma[4],3735,7636.75,9235,9957.5,19035,1,1.0001,1.003,0,0,0,0,100
Level2Sigma[5],124,152.75,167.5,169.9,327,1,1.0033,1.0541,0,1,90,0,100
Level2Sigma[6],115,143,157,162.4,257,1,1.003,1.0463,0,0,90,0,100
Level2Sigma[7],108,142.75,159,159.9,221,1,1.0029,1.0495,0,0,96,0,100
Level2Sigma[8],101,152,168.5,170.2,274,1,1.003,1.0851,0,1,87,0,100
"sigma_innovation[1,1]",156,225.75,267.5,299.6,747,1,1.0027,1.0318,0,0,11,0,100
"sigma_innovation[2,1]",304,419.75,474.5,498.1,890,1,1.001,1.0206,0,0,0,0,100
"sigma_innovation[1,2]",304,419.75,474.5,498.1,890,1,1.001,1.0206,0,0,0,0,100
"sigma_innovation[2,2]",189,317.75,375,385.8,1057,1,1.0015,1.0243,0,0,3,0,100
