"","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]",0,-0.007427,0.129953415114802,NA,0.130394621608579,0.123089,-0.0560270164402098,-0.2300875,0.255435,0.93,NA,0.07,0
"Level2Mean[2]",1,1.007067,0.132962189738286,0.00706699999999993,0.133443141945636,0.121114,-0.0923924734225688,0.7548475,1.275835,0.93,1,NA,0
"Level2Mean[3]",1,1.018475,0.169063703674088,0.018475,0.168897824217047,0.166915,-0.0117397854367795,0.68545,1.3325475,0.95,1,NA,0
"Level2Mean[4]",1.5,1.468202,0.197193457295114,-0.0211986666666667,0.195593235914112,0.209945,0.0733755644402238,1.00278,1.758185,0.96,1,NA,0
"Level2Mean[5]",2,2.021057,0.204630183746191,0.0105284999999999,0.204569305761143,0.211621,0.0344709300968679,1.6415075,2.3822025,0.96,1,NA,0
"Level2Mean[6]",2,2.031166,0.338629717833506,0.0155829999999999,0.338891189956751,0.30311,-0.105583122303409,1.4081975,2.6683575,0.92,1,NA,0
"Level2Mean[7]",0.3,0.316134,0.0920389048174738,0.0537800000000001,0.0910702583922784,0.098152,0.0777612991633061,0.13729,0.5052725,0.94,0.91,NA,0
"Level2Mean[8]",0.2,0.208667,0.0897002636562457,0.0433349999999999,0.0897303503207631,0.09668,0.0774503794356502,0.0414575,0.3792675,0.98,0.6,NA,0
"Level2Mean[9]",-0.15,-0.138199,0.0736327270987568,-0.0786733333333334,0.0730470645224949,0.08055,0.102713716513475,-0.28192,-0.016085,0.98,0.38,NA,0
"Level2Mean[10]",0,0.002433,0.0684040766329025,NA,0.068705183453167,0.075221,0.0948373356906107,-0.13169,0.146895,0.94,NA,0.06,0
"Level2Sigma[1]",1,0.973624,0.110710040195097,-0.026376,0.108063858898338,0.118892,0.100201318109954,0.7684475,1.198165,0.97,1,NA,0
"Level2Sigma[2]",1,0.995766,0.101254517923893,-0.00423399999999996,0.101675611350187,0.111775,0.0993295099552313,0.8025475,1.203915,0.95,1,NA,0
"Level2Sigma[3]",1.5,1.488683,0.131790340693087,-0.00754466666666668,0.131965022190799,0.136865,0.0371308830768508,1.210175,1.7332325,0.95,1,NA,0
"Level2Sigma[4]",2,1.97964,0.184370932633102,-0.01018,0.184166457424809,0.159413,-0.134408066327254,1.6480375,2.340535,0.89,1,NA,0
"Level2Sigma[5]",2,1.976996,0.14971411489903,-0.011502,0.148681519111329,0.162846,0.0952672596657076,1.740285,2.268725,0.97,1,NA,0
"Level2Sigma[6]",3,2.952065,0.24730388654447,-0.0159783333333333,0.243836027191565,0.221684,-0.0908480483655591,2.50931,3.4298075,0.93,1,NA,0
"Level2Sigma[7]",0.1,0.124126,0.0346457703046129,0.24126,0.0249902106894486,0.05457,1.18365505910043,0.0999425,0.1846075,1,1,NA,0
"Level2Sigma[8]",0.1,0.123383,0.0358082602202341,0.23383,0.0272561143358122,0.054374,0.994928526131003,0.0961,0.205445,1,1,NA,0
"Level2Sigma[9]",0.1,0.126259,0.0376993116648036,0.26259,0.0271862825444351,0.056566,1.08068167862026,0.09596,0.2064675,1,1,NA,0
"Level2Sigma[10]",0.1,0.12187,0.0282256443681982,0.2187,0.0179333812098043,0.053186,1.96575416413514,0.099575,0.1677,1,1,NA,0
"sigma_innovation[1,1]",1,1.007017,0.0749275042958192,0.00701700000000005,0.0749740198166988,0.086412,0.152559249340845,0.8701675,1.1406775,0.99,1,NA,0
"sigma_innovation[2,2]",1,1.008757,0.0830922421168186,0.0087569999999999,0.0830457805531188,0.086125,0.0370785779406531,0.8716875,1.1634175,0.98,1,NA,0
"sigma_innovation[1,2]",0.3,0.306361,0.0541213257413379,0.0212033333333334,0.054016978054884,0.059868,0.108318202087704,0.2074075,0.42527,0.96,1,NA,0
"sigma_innovation[2,1]",0.3,0.306361,0.0541213257413379,0.0212033333333334,0.054016978054884,0.059868,0.108318202087704,0.2074075,0.42527,0.96,1,NA,0
