"","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]",0,-0.019562,0.109838003441432,NA,0.108626480559705,0.106083,-0.0234149219103772,-0.2465925,0.1981525,0.93,NA,0.07,0
"Level2Mean[2]",1,1.005252,0.115449756171245,0.00525200000000003,0.115911245634953,0.10486,-0.0953423075941883,0.80874,1.25332,0.9,1,NA,0
"Level2Mean[3]",1,0.999911,0.148562128754269,-8.90000000000057e-05,0.149310530520263,0.15526,0.0398462818329447,0.7335925,1.29078,0.96,1,NA,0
"Level2Mean[4]",1.5,1.466273,0.18748101530555,-0.0224846666666667,0.185351483117723,0.202137,0.0905604670647088,1.06593,1.781755,0.96,1,NA,0
"Level2Mean[5]",2,2.017232,0.198568831391032,0.00861599999999996,0.198816292485238,0.201842,0.0152186094858726,1.6607325,2.42715,0.94,1,NA,0
"Level2Mean[6]",2,2.033824,0.332028325598886,0.016912,0.331964988454499,0.298096,-0.102025784743687,1.4094525,2.6797125,0.93,1,NA,0
"Level2Mean[7]",0.3,0.297636,0.017911973648931,-0.00787999999999993,0.0178447373335964,0.01792,0.00421763935195948,0.2620525,0.331625,0.94,1,NA,0
"Level2Mean[8]",0.2,0.20254,0.0155544013063827,0.0126999999999999,0.0154229201076341,0.017581,0.139926802272526,0.1770025,0.2278625,0.99,1,NA,0
"Level2Mean[9]",-0.15,-0.154014,0.0152244474448172,0.0267600000000001,0.0147597461038632,0.01737,0.176849512028773,-0.182645,-0.12128,0.97,1,NA,0
"Level2Mean[10]",0,-0.002983,0.0196505699662885,NA,0.0195206860235055,0.017167,-0.120573939905152,-0.0405525,0.032845,0.9,NA,0.1,0
"Level2Sigma[1]",1,1.008193,0.0748655014008455,0.00819299999999989,0.0747907387112181,0.078919,0.0551974931645206,0.8586,1.13565,0.97,1,NA,0
"Level2Sigma[2]",1,1.008591,0.0770466761126007,0.00859100000000002,0.0769519397370393,0.076953,1.37782486614544e-05,0.86234,1.1596225,0.93,1,NA,0
"Level2Sigma[3]",1.5,1.515686,0.103527179040096,0.0104573333333334,0.102847470684809,0.112676,0.0955641324939537,1.3146075,1.7070175,0.96,1,NA,0
"Level2Sigma[4]",2,1.999084,0.161949567458515,-0.000457999999999958,0.162762835904008,0.144887,-0.109827503340817,1.715445,2.338725,0.91,1,NA,0
"Level2Sigma[5]",2,1.989797,0.138216796736142,-0.00510149999999998,0.138534106550617,0.145286,0.048738131118027,1.716825,2.2445475,0.95,1,NA,0
"Level2Sigma[6]",3,2.965366,0.240920246139672,-0.0115446666666667,0.239618912602423,0.212802,-0.111914841408691,2.45355,3.38945,0.93,1,NA,0
"Level2Sigma[7]",0.1,0.100723,0.0157865607400725,0.00723000000000001,0.015849442235988,0.018307,0.155056419489127,0.075885,0.1298975,0.98,1,NA,0
"Level2Sigma[8]",0.1,0.09756,0.0176923768894968,-0.0244000000000001,0.0176115951244708,0.017959,0.019725917673778,0.06734,0.132085,0.94,1,NA,0
"Level2Sigma[9]",0.1,0.101407,0.0164164460222059,0.0140699999999999,0.016438438908162,0.01792,0.0901278460877689,0.072065,0.13184,0.97,1,NA,0
"Level2Sigma[10]",0.1,0.096927,0.0164153921671095,-0.0307300000000001,0.0162064263036412,0.017792,0.0978361093711667,0.07228,0.1271875,0.98,1,NA,0
"sigma_innovation[1,1]",1,0.997717,0.0184042902606974,-0.00228300000000004,0.0183541427630292,0.019081,0.0396018079599408,0.964995,1.0345675,0.98,1,NA,0
"sigma_innovation[2,2]",1,0.999358,0.0194904181586748,-0.000642000000000031,0.0195779776300007,0.019075,-0.0256909901270881,0.9613125,1.0334825,0.95,1,NA,0
"sigma_innovation[1,2]",0.3,0.297614,0.0134666031351637,-0.00795333333333333,0.0133203119749918,0.014019,0.0524528274052368,0.2751575,0.32107,0.97,1,NA,0
"sigma_innovation[2,1]",0.3,0.297614,0.0134666031351637,-0.00795333333333333,0.0133203119749918,0.014019,0.0524528274052368,0.2751575,0.32107,0.97,1,NA,0
