"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","DetectRate","MissingPer"
"Level2Mean[1]","Burst1_y1",NA,"3.375503",NA,NA,"0.0530016684604924","0.058154","0.097210742400461","3.2650525","3.4630725",NA,NA,NA,"1","0"
"Level2Mean[2]","Burst1_y2",NA,"2.642368",NA,NA,"0.040647787172492","0.043363","0.0667985397577936","2.568365","2.717385",NA,NA,NA,"1","0"
"Level2Mean[3]","Burst2_y1",NA,"6.549854",NA,NA,"0.0726146191419559","0.082847","0.140913509964717","6.422355","6.69957",NA,NA,NA,"1","0"
"Level2Mean[4]","Burst2_y2",NA,"4.797185",NA,NA,"0.0573185082577076","0.059447","0.0371344580832881","4.6975175","4.901025",NA,NA,NA,"1","0"
"Level2Mean[5]","Burst3_y1",NA,"8.403799",NA,NA,"0.0819152721851775","0.089334","0.0905658690610432","8.254855","8.57724",NA,NA,NA,"1","0"
"Level2Mean[6]","Burst3_y2",NA,"6.269926",NA,NA,"0.0642209138974071","0.066436","0.0344916627335993","6.161635","6.3978575",NA,NA,NA,"1","0"
"Level2Mean[7]","Burst4_y1",NA,"9.276327",NA,NA,"0.084034325424168","0.090809","0.08061794441303","9.1205775","9.4525075",NA,NA,NA,"1","0"
"Level2Mean[8]","Burst4_y2",NA,"7.10087",NA,NA,"0.06099918280625","0.068515","0.123211768551429","6.997905","7.223085",NA,NA,NA,"1","0"
"Level2Mean[9]","Burst5_y1",NA,"9.666535",NA,NA,"0.0864574787471457","0.091307","0.0560914026539829","9.518765","9.8411325",NA,NA,NA,"1","0"
"Level2Mean[10]","Burst5_y2",NA,"7.537907",NA,NA,"0.0674178276560331","0.069451","0.0301577848865162","7.4184225","7.6750075",NA,NA,NA,"1","0"
"Level2Mean[11]","AR1","0.3","0.30503","0.0200412225176011","0.0167666666666668","0.0194974668129276","0.018261","-0.0634167927962696","0.2681875","0.3428975","0.94","1",NA,"1","0"
"Level2Mean[12]","AR2","0.2","0.203356","0.0188387419962162","0.01678","0.0186307951868118","0.016981","-0.0885520542880333","0.162265","0.2380725","0.9","1",NA,"1","0"
"Level2Mean[13]","CR_y1toy2","-0.15","-0.149743","0.0155606008881405","-0.0017133333333332","0.015636859168211","0.015045","-0.0378502589199134","-0.176115","-0.12037","0.96","1",NA,"1","0"
"Level2Mean[14]","CR_y2toy1","-0.1","-0.099886","0.0138992086105648","-0.00114000000000003","0.0139687603840379","0.014633","0.0475517939817428","-0.12691","-0.07474","0.96","1",NA,"1","0"
