"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Mean[9]","Est_Level2Mean[9]","se_Level2Mean[9]","LL_Level2Mean[9]","UL_Level2Mean[9]","cFlag_Level2Mean[9]","pFlag_Level2Mean[9]","Tru_Level2Mean[10]","Est_Level2Mean[10]","se_Level2Mean[10]","LL_Level2Mean[10]","UL_Level2Mean[10]","cFlag_Level2Mean[10]","pFlag_Level2Mean[10]","Tru_Level2Mean[11]","Est_Level2Mean[11]","se_Level2Mean[11]","LL_Level2Mean[11]","UL_Level2Mean[11]","cFlag_Level2Mean[11]","pFlag_Level2Mean[11]","Tru_Level2Mean[12]","Est_Level2Mean[12]","se_Level2Mean[12]","LL_Level2Mean[12]","UL_Level2Mean[12]","cFlag_Level2Mean[12]","pFlag_Level2Mean[12]","Tru_Level2Mean[13]","Est_Level2Mean[13]","se_Level2Mean[13]","LL_Level2Mean[13]","UL_Level2Mean[13]","cFlag_Level2Mean[13]","pFlag_Level2Mean[13]","Tru_Level2Mean[14]","Est_Level2Mean[14]","se_Level2Mean[14]","LL_Level2Mean[14]","UL_Level2Mean[14]","cFlag_Level2Mean[14]","pFlag_Level2Mean[14]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_Level2Sigma[9]","Est_Level2Sigma[9]","se_Level2Sigma[9]","LL_Level2Sigma[9]","UL_Level2Sigma[9]","cFlag_Level2Sigma[9]","pFlag_Level2Sigma[9]","Tru_Level2Sigma[10]","Est_Level2Sigma[10]","se_Level2Sigma[10]","LL_Level2Sigma[10]","UL_Level2Sigma[10]","cFlag_Level2Sigma[10]","pFlag_Level2Sigma[10]","Tru_Level2Sigma[11]","Est_Level2Sigma[11]","se_Level2Sigma[11]","LL_Level2Sigma[11]","UL_Level2Sigma[11]","cFlag_Level2Sigma[11]","pFlag_Level2Sigma[11]","Tru_Level2Sigma[12]","Est_Level2Sigma[12]","se_Level2Sigma[12]","LL_Level2Sigma[12]","UL_Level2Sigma[12]","cFlag_Level2Sigma[12]","pFlag_Level2Sigma[12]","Tru_Level2Sigma[13]","Est_Level2Sigma[13]","se_Level2Sigma[13]","LL_Level2Sigma[13]","UL_Level2Sigma[13]","cFlag_Level2Sigma[13]","pFlag_Level2Sigma[13]","Tru_Level2Sigma[14]","Est_Level2Sigma[14]","se_Level2Sigma[14]","LL_Level2Sigma[14]","UL_Level2Sigma[14]","cFlag_Level2Sigma[14]","pFlag_Level2Sigma[14]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
1,NA,3.1594,0.143,2.8783,3.4405,NA,1,NA,2.5165,0.0996,2.3211,2.7127,NA,1,NA,6.3502,0.2025,5.9532,6.7476,NA,1,NA,4.5314,0.1417,4.2536,4.8113,NA,1,NA,8.2917,0.2055,7.8813,8.6895,NA,1,NA,5.8412,0.1428,5.5624,6.121,NA,1,NA,9.2059,0.2257,8.758,9.6474,NA,1,NA,6.7139,0.1546,6.4125,7.02,NA,1,NA,9.6617,0.211,9.2495,10.0761,NA,1,NA,7.0906,0.1502,6.7933,7.3846,NA,1,0.3,0.2631,0.0405,0.1854,0.3457,1,1,0.2,0.246,0.0397,0.1691,0.3257,1,1,-0.15,-0.181,0.0336,-0.2466,-0.1149,1,1,-0.1,-0.0664,0.0335,-0.1326,-0.0021,1,1,NA,1.295,0.1141,1.0878,1.5346,NA,1,NA,0.8191,0.0888,0.652,1.002,NA,1,NA,1.92,0.1498,1.6507,2.2395,NA,1,NA,1.2917,0.1118,1.0889,1.5269,NA,1,NA,1.9593,0.1512,1.685,2.2748,NA,1,NA,1.3041,0.1125,1.0976,1.5412,NA,1,NA,2.1749,0.1656,1.8767,2.5236,NA,1,NA,1.4185,0.1196,1.2016,1.6702,NA,1,NA,2.0207,0.1565,1.7381,2.3493,NA,1,NA,1.3837,0.1175,1.1682,1.6293,NA,1,0.1,0.1265,0.0409,0.0579,0.2125,1,1,0.1,0.1626,0.0465,0.0737,0.2512,1,1,0.1,0.1086,0.0345,0.0534,0.184,1,1,0.1,0.1129,0.0345,0.0556,0.1871,1,1,1,1.033,0.0381,0.9612,1.1103,1,1,1,1.019,0.0369,0.9494,1.0947,1,1,0.3,0.305,0.0273,0.2526,0.3598,1,1,0.3,0.305,0.0273,0.2526,0.3598,1,1
2,NA,3.4398,0.1368,3.1703,3.7091,NA,1,NA,2.4927,0.1016,2.2935,2.6938,NA,1,NA,6.7107,0.1995,6.3155,7.1045,NA,1,NA,4.753,0.1433,4.4731,5.0348,NA,1,NA,8.6484,0.2089,8.2396,9.06,NA,1,NA,6.2689,0.1658,5.946,6.5989,NA,1,NA,9.6109,0.2167,9.1814,10.0331,NA,1,NA,6.963,0.1648,6.6406,7.2857,NA,1,NA,9.9187,0.2186,9.4921,10.3509,NA,1,NA,7.2834,0.1728,6.947,7.6256,NA,1,0.3,0.2931,0.0426,0.2102,0.3774,1,1,0.2,0.2326,0.0408,0.1548,0.3149,1,1,-0.15,-0.1534,0.0354,-0.2235,-0.0845,1,1,-0.1,-0.1205,0.0324,-0.1841,-0.056,1,1,NA,1.2335,0.1077,1.038,1.461,NA,1,NA,0.8455,0.0891,0.6795,1.0303,NA,1,NA,1.9138,0.1488,1.6462,2.228,NA,1,NA,1.3105,0.1119,1.1062,1.5451,NA,1,NA,1.9945,0.1549,1.7168,2.3221,NA,1,NA,1.5561,0.1264,1.3272,1.8196,NA,1,NA,2.0758,0.1594,1.7879,2.4144,NA,1,NA,1.5407,0.1259,1.3121,1.8067,NA,1,NA,2.1099,0.1625,1.8165,2.4585,NA,1,NA,1.6207,0.1304,1.3852,1.8975,NA,1,0.1,0.1414,0.0454,0.0629,0.234,1,1,0.1,0.1697,0.0459,0.0764,0.2549,1,1,0.1,0.1449,0.0386,0.0699,0.2197,1,1,0.1,0.0901,0.0279,0.0471,0.1532,1,1,1,0.9757,0.0359,0.908,1.0489,1,1,1,0.9786,0.0354,0.9117,1.0497,1,1,0.3,0.3053,0.0261,0.2549,0.3573,1,1,0.3,0.3053,0.0261,0.2549,0.3573,1,1
3,NA,3.4884,0.1145,3.2626,3.714,NA,1,NA,2.6202,0.096,2.431,2.8086,NA,1,NA,6.5826,0.1766,6.2347,6.9295,NA,1,NA,4.7121,0.1319,4.4524,4.9705,NA,1,NA,8.3056,0.1877,7.9402,8.6755,NA,1,NA,6.1683,0.1405,5.8899,6.4437,NA,1,NA,9.182,0.1949,8.7966,9.5621,NA,1,NA,7.0589,0.1561,6.7536,7.3668,NA,1,NA,9.5181,0.1939,9.1324,9.899,NA,1,NA,7.5284,0.1583,7.2165,7.839,NA,1,0.3,0.3708,0.0427,0.2898,0.4559,1,1,0.2,0.1991,0.037,0.1282,0.272,1,1,-0.15,-0.1506,0.0328,-0.2151,-0.0854,1,1,-0.1,-0.1027,0.0363,-0.1745,-0.0321,1,1,NA,0.9309,0.104,0.7356,1.1421,NA,1,NA,0.8033,0.0823,0.6501,0.9727,NA,1,NA,1.64,0.1358,1.3931,1.9251,NA,1,NA,1.2009,0.1027,1.0153,1.4167,NA,1,NA,1.768,0.1441,1.5041,2.0726,NA,1,NA,1.2916,0.1078,1.0955,1.5188,NA,1,NA,1.8371,0.1475,1.5723,2.1465,NA,1,NA,1.4685,0.1177,1.2556,1.7162,NA,1,NA,1.8332,0.1473,1.5667,2.1467,NA,1,NA,1.4837,0.1188,1.2701,1.733,NA,1,0.1,0.0972,0.032,0.0483,0.17,1,1,0.1,0.0796,0.0233,0.0449,0.135,1,1,0.1,0.1206,0.0353,0.0587,0.1938,1,1,0.1,0.1407,0.0409,0.0661,0.2223,1,1,1,1.0681,0.041,0.9911,1.1511,1,1,1,0.9957,0.0358,0.9285,1.0683,1,1,0.3,0.2904,0.027,0.2383,0.3441,1,1,0.3,0.2904,0.027,0.2383,0.3441,1,1
4,NA,3.3262,0.1161,3.0971,3.5523,NA,1,NA,2.5054,0.0933,2.3225,2.6888,NA,1,NA,6.5643,0.1749,6.2204,6.9063,NA,1,NA,4.7103,0.1283,4.4581,4.9628,NA,1,NA,8.5915,0.1832,8.2342,8.9535,NA,1,NA,6.1478,0.1489,5.856,6.4413,NA,1,NA,9.3848,0.1857,9.0187,9.7464,NA,1,NA,6.8099,0.1601,6.4953,7.1233,NA,1,NA,9.7305,0.1938,9.3519,10.1106,NA,1,NA,7.2983,0.1575,6.9905,7.608,NA,1,0.3,0.3072,0.0408,0.229,0.3895,1,1,0.2,0.1941,0.0365,0.1239,0.268,1,1,-0.15,-0.1878,0.032,-0.2506,-0.1241,1,1,-0.1,-0.1199,0.0339,-0.186,-0.0543,1,1,NA,0.9886,0.0967,0.8093,1.1911,NA,1,NA,0.7776,0.0789,0.6328,0.9413,NA,1,NA,1.6414,0.1318,1.4016,1.9183,NA,1,NA,1.1682,0.0994,0.9888,1.3781,NA,1,NA,1.7375,0.138,1.4877,2.0293,NA,1,NA,1.3914,0.112,1.19,1.6271,NA,1,NA,1.752,0.1392,1.5025,2.0469,NA,1,NA,1.512,0.1199,1.2954,1.7637,NA,1,NA,1.8236,0.1447,1.5615,2.1285,NA,1,NA,1.4887,0.1186,1.2736,1.7396,NA,1,0.1,0.1306,0.0419,0.0593,0.2153,1,1,0.1,0.0878,0.0267,0.0476,0.1497,1,1,0.1,0.0785,0.0219,0.0448,0.1295,1,1,0.1,0.1066,0.0341,0.0527,0.182,1,1,1,1.0059,0.0366,0.9363,1.0804,1,1,1,0.947,0.0331,0.8842,1.0148,1,1,0.3,0.2998,0.0254,0.2509,0.3509,1,1,0.3,0.2998,0.0254,0.2509,0.3509,1,1
5,NA,3.4639,0.1394,3.1887,3.7371,NA,1,NA,2.8021,0.0923,2.6189,2.9832,NA,1,NA,6.5947,0.1889,6.225,6.9689,NA,1,NA,4.9451,0.1314,4.6855,5.2044,NA,1,NA,8.3484,0.2143,7.9283,8.7722,NA,1,NA,6.3142,0.1348,6.0496,6.5814,NA,1,NA,9.1747,0.212,8.7618,9.59,NA,1,NA,7.1724,0.1417,6.8951,7.4533,NA,1,NA,9.5827,0.2067,9.1788,9.9867,NA,1,NA,7.4714,0.1417,7.1934,7.7468,NA,1,0.3,0.3177,0.0411,0.2373,0.3993,1,1,0.2,0.2625,0.0357,0.1923,0.3333,1,1,-0.15,-0.1653,0.0322,-0.228,-0.102,1,1,-0.1,-0.0932,0.0343,-0.1613,-0.0262,1,1,NA,1.245,0.1108,1.0418,1.4765,NA,1,NA,0.7184,0.0814,0.5681,0.8879,NA,1,NA,1.7679,0.1422,1.5102,2.0681,NA,1,NA,1.1738,0.1027,0.9868,1.3901,NA,1,NA,2.0567,0.1588,1.77,2.3906,NA,1,NA,1.2166,0.106,1.0254,1.438,NA,1,NA,2.043,0.1592,1.7565,2.3764,NA,1,NA,1.2818,0.1097,1.0807,1.5117,NA,1,NA,1.9642,0.1534,1.687,2.2913,NA,1,NA,1.2962,0.1098,1.0971,1.5243,NA,1,0.1,0.0916,0.0291,0.0478,0.1589,1,1,0.1,0.0886,0.0268,0.0474,0.1513,1,1,0.1,0.0969,0.0302,0.0501,0.1654,1,1,0.1,0.1504,0.0399,0.0732,0.2289,1,1,1,1.0501,0.0396,0.9753,1.1307,1,1,1,1.0299,0.0366,0.9608,1.1037,1,1,0.3,0.2643,0.0267,0.2129,0.3176,1,1,0.3,0.2643,0.0267,0.2129,0.3176,1,1
6,NA,3.4505,0.1373,3.1838,3.7209,NA,1,NA,2.5423,0.0887,2.3661,2.7161,NA,1,NA,6.6051,0.1889,6.2312,6.9753,NA,1,NA,4.5391,0.1292,4.286,4.7915,NA,1,NA,8.4531,0.2121,8.0382,8.8702,NA,1,NA,6.0142,0.151,5.7178,6.3112,NA,1,NA,9.2728,0.1907,8.8976,9.6492,NA,1,NA,7.0193,0.1605,6.7011,7.3351,NA,1,NA,9.6023,0.2008,9.2066,9.9944,NA,1,NA,7.399,0.1639,7.0764,7.7226,NA,1,0.3,0.3227,0.0386,0.2477,0.3984,1,1,0.2,0.2455,0.0363,0.1767,0.3184,1,1,-0.15,-0.203,0.0339,-0.2684,-0.137,1,1,-0.1,-0.1149,0.0316,-0.1764,-0.053,1,1,NA,1.2376,0.1109,1.0349,1.4697,NA,1,NA,0.6834,0.0813,0.5307,0.8491,NA,1,NA,1.7948,0.1431,1.5358,2.0983,NA,1,NA,1.1689,0.1039,0.9803,1.3879,NA,1,NA,2.0284,0.1584,1.746,2.3623,NA,1,NA,1.3992,0.1161,1.1884,1.6436,NA,1,NA,1.812,0.1435,1.554,2.1149,NA,1,NA,1.5117,0.123,1.2886,1.7704,NA,1,NA,1.9105,0.1493,1.6426,2.2258,NA,1,NA,1.5351,0.1255,1.3084,1.799,NA,1,0.1,0.1126,0.0351,0.0542,0.1876,1,1,0.1,0.0926,0.0302,0.0472,0.1627,1,1,0.1,0.0844,0.025,0.0469,0.1435,1,1,0.1,0.0994,0.0306,0.0513,0.1679,1,1,1,0.9873,0.0358,0.9194,1.0597,1,1,1,1.042,0.0371,0.9719,1.1178,1,1,0.3,0.2901,0.0266,0.2389,0.3432,1,1,0.3,0.2901,0.0266,0.2389,0.3432,1,1
7,NA,3.3075,0.1205,3.0712,3.5444,NA,1,NA,2.4468,0.099,2.252,2.6423,NA,1,NA,6.5373,0.1797,6.1815,6.8882,NA,1,NA,4.7354,0.1291,4.4829,4.989,NA,1,NA,8.4224,0.2049,8.0189,8.8258,NA,1,NA,6.2237,0.1398,5.9494,6.4999,NA,1,NA,9.277,0.1869,8.913,9.644,NA,1,NA,6.9012,0.1473,6.6115,7.1892,NA,1,NA,9.6261,0.2133,9.208,10.0463,NA,1,NA,7.4574,0.1574,7.148,7.766,NA,1,0.3,0.33,0.0413,0.2483,0.4098,1,1,0.2,0.2886,0.0404,0.2106,0.3684,0,1,-0.15,-0.1574,0.0335,-0.2232,-0.0916,1,1,-0.1,-0.0843,0.0331,-0.1488,-0.0204,1,1,NA,1.0271,0.1013,0.8393,1.2368,NA,1,NA,0.7885,0.0881,0.6233,0.9706,NA,1,NA,1.6923,0.138,1.4423,1.9839,NA,1,NA,1.1484,0.1047,0.9562,1.3668,NA,1,NA,1.9524,0.1538,1.6728,2.2743,NA,1,NA,1.2573,0.111,1.0542,1.4891,NA,1,NA,1.76,0.1431,1.502,2.0626,NA,1,NA,1.3498,0.1163,1.1372,1.59,NA,1,NA,2.0292,0.1596,1.7402,2.3673,NA,1,NA,1.4602,0.1234,1.2376,1.7204,NA,1,0.1,0.1371,0.0441,0.0604,0.2263,1,1,0.1,0.1096,0.0354,0.0534,0.1877,1,1,0.1,0.0915,0.0291,0.0469,0.1589,1,1,0.1,0.0982,0.0304,0.0507,0.1657,1,1,1,1.0314,0.0376,0.9608,1.1081,1,1,1,1.0406,0.0377,0.9704,1.1171,1,1,0.3,0.2927,0.0268,0.241,0.3455,1,1,0.3,0.2927,0.0268,0.241,0.3455,1,1
8,NA,3.1912,0.1126,2.9721,3.4119,NA,1,NA,2.5525,0.101,2.3532,2.7501,NA,1,NA,6.3007,0.1752,5.9569,6.6435,NA,1,NA,4.6235,0.1442,4.3424,4.9074,NA,1,NA,8.0774,0.1728,7.7366,8.4165,NA,1,NA,5.9685,0.1534,5.6663,6.2678,NA,1,NA,9.0101,0.1887,8.6363,9.3841,NA,1,NA,6.8641,0.1674,6.5368,7.1918,NA,1,NA,9.5348,0.1923,9.1581,9.9128,NA,1,NA,7.1735,0.1795,6.8202,7.5246,NA,1,0.3,0.2986,0.0412,0.2192,0.3806,1,1,0.2,0.2098,0.037,0.1402,0.284,1,1,-0.15,-0.1355,0.0319,-0.1981,-0.0733,1,1,-0.1,-0.1241,0.0352,-0.1941,-0.0555,1,1,NA,0.9385,0.0953,0.7631,1.1364,NA,1,NA,0.8502,0.0853,0.6929,1.0285,NA,1,NA,1.6449,0.1351,1.4004,1.9263,NA,1,NA,1.3412,0.1115,1.138,1.5763,NA,1,NA,1.6082,0.1322,1.369,1.8894,NA,1,NA,1.4375,0.1175,1.2246,1.6872,NA,1,NA,1.7754,0.1433,1.518,2.0786,NA,1,NA,1.579,0.1262,1.3517,1.845,NA,1,NA,1.8202,0.1445,1.5597,2.1252,NA,1,NA,1.7089,0.1348,1.465,1.9938,NA,1,0.1,0.1438,0.0404,0.0691,0.2248,1,1,0.1,0.088,0.0273,0.0472,0.1515,1,1,0.1,0.0777,0.0219,0.0441,0.1289,1,1,0.1,0.1483,0.042,0.0692,0.232,1,1,1,1.0763,0.0402,1.0004,1.1583,0,1,1,1.0224,0.0364,0.9539,1.0959,1,1,0.3,0.296,0.0273,0.2436,0.3507,1,1,0.3,0.296,0.0273,0.2436,0.3507,1,1
9,NA,3.412,0.1413,3.1381,3.6896,NA,1,NA,2.7021,0.0852,2.5332,2.8692,NA,1,NA,6.5853,0.2078,6.1778,6.9934,NA,1,NA,4.8652,0.1169,4.6355,5.0938,NA,1,NA,8.4216,0.2273,7.9746,8.8663,NA,1,NA,6.3389,0.134,6.0753,6.6025,NA,1,NA,9.2936,0.2236,8.8527,9.7321,NA,1,NA,7.2875,0.1406,7.0095,7.562,NA,1,NA,9.6885,0.2232,9.2483,10.127,NA,1,NA,7.6822,0.1312,7.4232,7.9394,NA,1,0.3,0.3185,0.0433,0.2368,0.4056,1,1,0.2,0.2136,0.0354,0.1445,0.2852,1,1,-0.15,-0.1137,0.0343,-0.1806,-0.047,1,1,-0.1,-0.0439,0.033,-0.1089,0.0196,1,0,NA,1.2801,0.1119,1.0773,1.513,NA,1,NA,0.6513,0.0755,0.5091,0.8062,NA,1,NA,1.971,0.1543,1.693,2.2942,NA,1,NA,1.0401,0.0944,0.8662,1.2374,NA,1,NA,2.1936,0.1683,1.8931,2.5505,NA,1,NA,1.2325,0.1045,1.0426,1.4508,NA,1,NA,2.1477,0.1651,1.8487,2.4991,NA,1,NA,1.2925,0.1077,1.0967,1.5184,NA,1,NA,2.1454,0.164,1.851,2.494,NA,1,NA,1.2094,0.1029,1.0231,1.4278,NA,1,0.1,0.1284,0.0423,0.0584,0.2159,1,1,0.1,0.0815,0.025,0.0447,0.1406,1,1,0.1,0.1153,0.0355,0.056,0.1904,1,1,0.1,0.0871,0.0267,0.0472,0.1489,1,1,1,0.9894,0.037,0.9194,1.0644,1,1,1,0.9867,0.0353,0.9199,1.0579,1,1,0.3,0.291,0.0261,0.2404,0.3429,1,1,0.3,0.291,0.0261,0.2404,0.3429,1,1
10,NA,3.2711,0.133,3.0123,3.5338,NA,1,NA,2.6422,0.0952,2.455,2.8288,NA,1,NA,6.3776,0.1723,6.0397,6.717,NA,1,NA,4.8028,0.1389,4.5295,5.0778,NA,1,NA,8.1582,0.1974,7.7707,8.543,NA,1,NA,6.2097,0.1493,5.9177,6.5013,NA,1,NA,8.9119,0.2068,8.5035,9.314,NA,1,NA,7.0542,0.148,6.764,7.3432,NA,1,NA,9.5879,0.1973,9.1963,9.9743,NA,1,NA,7.4973,0.1361,7.2306,7.7645,NA,1,0.3,0.3064,0.0413,0.2267,0.3897,1,1,0.2,0.2021,0.0364,0.1307,0.2737,1,1,-0.15,-0.2005,0.035,-0.2691,-0.1305,1,1,-0.1,-0.1107,0.0315,-0.1718,-0.0487,1,1,NA,1.1824,0.1063,0.9881,1.4049,NA,1,NA,0.7609,0.0826,0.6078,0.9311,NA,1,NA,1.6056,0.1319,1.3675,1.8822,NA,1,NA,1.2624,0.1083,1.0671,1.4946,NA,1,NA,1.8762,0.147,1.6105,2.1897,NA,1,NA,1.3781,0.1154,1.1701,1.6228,NA,1,NA,1.9752,0.1532,1.6968,2.3023,NA,1,NA,1.3672,0.1146,1.1603,1.6091,NA,1,NA,1.8778,0.1466,1.6134,2.1883,NA,1,NA,1.2373,0.1075,1.0428,1.4632,NA,1,0.1,0.0974,0.0326,0.0491,0.1723,1,1,0.1,0.109,0.0359,0.0525,0.189,1,1,0.1,0.1103,0.0348,0.0539,0.1874,1,1,0.1,0.1122,0.034,0.0558,0.1854,1,1,1,1.0186,0.0376,0.9477,1.0953,1,1,1,1.1031,0.0389,1.0303,1.1821,0,1,0.3,0.2973,0.0275,0.2444,0.3523,1,1,0.3,0.2973,0.0275,0.2444,0.3523,1,1
