"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]","Theta1_y1_Asymptote","10","9.952201","0.236073736150382","-0.00477989999999995","0.232348711501406","0.214826","-0.0754155742382932","9.4726225","10.42156","0.92","1",NA,"0"
"Level2Mean[2]","Theta2_y1_Displacement","3","3.023778","0.143323624709955","0.00792600000000003","0.142049458295413","0.124977","-0.120186718768811","2.76724","3.2957275","0.93","1",NA,"0"
"Level2Mean[3]","Theta3_y1_GrowthRate","1","0.999163","0.042720038623578","-0.000836999999999977","0.0429270126511444","0.035978","-0.161879716802496","0.9182225","1.0800975","0.89","1",NA,"0"
"Level2Mean[4]","Theta1_y2_Asymptote","8","7.930705","0.184995453727923","-0.00866187500000004","0.172391148132801","0.179719","0.0425071237506556","7.59368","8.213555","0.93","1",NA,"0"
"Level2Mean[5]","Theta2_y2_Displacement","2.5","2.544778","0.110448165217898","0.0179112","0.101472631111283","0.107363","0.058048843557209","2.35287","2.752715","0.93","1",NA,"0"
"Level2Mean[6]","Theta3_y2_GrowthRate","0.8","0.812599","0.0372742256794155","0.0157487499999999","0.0352571090188013","0.034106","-0.0326489905393949","0.7502725","0.8896925","0.94","1",NA,"0"
"Level2Mean[7]","AR1","0.3","0.295385","0.0280321975592353","-0.0153833333333333","0.0277889934428301","0.028293","0.0181369130266177","0.2379125","0.3467475","0.94","1",NA,"0"
"Level2Mean[8]","AR2","0.2","0.198598","0.0260215295476649","-0.00701000000000007","0.0261146345441352","0.027989","0.0717745236946379","0.1530575","0.246905","0.98","1",NA,"0"
"Level2Mean[9]","CR_y1toy2","-0.15","-0.152522","0.0226716166163774","0.0168133333333333","0.0226444123372855","0.026993","0.192038000277632","-0.19264","-0.1113675","0.99","1",NA,"0"
"Level2Mean[10]","CR_y2toy1","-0.1","-0.100369","0.0274499781420678","0.00368999999999994","0.0275857732876711","0.027011","-0.0208358591828193","-0.1629825","-0.05448","0.95","0.98",NA,"0"
"Level2Sigma[1]","SD_Theta1_y1","2","1.98767","0.121518173126492","-0.00616499999999998","0.121500041567936","0.153894","0.266616850611953","1.7499925","2.1939175","0.99","1",NA,"0"
"Level2Sigma[2]","SD_Theta2_y1","0.5","0.588814","0.106378053187676","0.177628","0.0588472050261857","0.087556","0.487853160758263","0.487515","0.71267","0.93","1",NA,"0"
"Level2Sigma[3]","SD_Theta3_y1","0.2","0.185889","0.0334362034328062","-0.0705550000000001","0.0304654031135104","0.028245","-0.0728827747736477","0.1100925","0.2383925","0.91","1",NA,"0"
"Level2Sigma[4]","SD_Theta1_y2","1.5","1.512764","0.136713884444851","0.00850933333333333","0.136802469497469","0.124218","-0.091990075498617","1.26753","1.79522","0.92","1",NA,"0"
"Level2Sigma[5]","SD_Theta2_y2","0.4","0.504904","0.112181502931633","0.26226","0.0399474450707022","0.068047","0.70341306883494","0.4414","0.588665","0.75","1",NA,"0"
"Level2Sigma[6]","SD_Theta3_y2","0.15","0.126951","0.0342479736626855","-0.15366","0.025458766405085","0.027664","0.0866198133808437","0.084085","0.1740275","0.84","1",NA,"0"
"Level2Sigma[7]","SD_AR1","0.1","0.101322","0.0205778035756978","0.0132199999999999","0.020638747417164","0.028164","0.364617698483856","0.0761175","0.153115","1","1",NA,"0"
"Level2Sigma[8]","SD_AR2","0.1","0.104707","0.0200200174825098","0.0470699999999999","0.0195568389701672","0.028761","0.470636437916843","0.0789275","0.151345","1","1",NA,"0"
"Level2Sigma[9]","SD_CR_y1toy2","0.1","0.10086","0.0208020623977528","0.0086","0.0208889850631786","0.028002","0.340515104745788","0.07417","0.1542325","0.98","1",NA,"0"
"Level2Sigma[10]","SD_CR_y2toy1","0.1","0.105047","0.0233393894521686","0.05047","0.0229019625774515","0.028775","0.256442538611554","0.07836","0.1533975","0.99","1",NA,"0"
"sigma_innovation[1,1]","InnoVar_y1","1","0.993095","0.0289363007310886","-0.00690500000000005","0.0282419287656499","0.030546","0.0815833526622498","0.943975","1.0512625","0.97","1",NA,"0"
"sigma_innovation[2,2]","InnoVar_y2","1","0.998645","0.0340964470289794","-0.001355","0.0342411483068798","0.030514","-0.108849979956161","0.94099","1.06381","0.92","1",NA,"0"
"sigma_innovation[1,2]","InnoCov","0.3","0.29788","0.0213370710267365","-0.0070666666666667","0.0213384510906836","0.02226","0.0431872447254984","0.2647025","0.3385","0.97","1",NA,"0"
"sigma_innovation[2,1]","InnoCov_sym","0.3","0.29788","0.0213370710267365","-0.0070666666666667","0.0213384510906836","0.02226","0.0431872447254984","0.2647025","0.3385","0.97","1",NA,"0"
