"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Mean[9]","Est_Level2Mean[9]","se_Level2Mean[9]","LL_Level2Mean[9]","UL_Level2Mean[9]","cFlag_Level2Mean[9]","pFlag_Level2Mean[9]","Tru_Level2Mean[10]","Est_Level2Mean[10]","se_Level2Mean[10]","LL_Level2Mean[10]","UL_Level2Mean[10]","cFlag_Level2Mean[10]","pFlag_Level2Mean[10]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_Level2Sigma[9]","Est_Level2Sigma[9]","se_Level2Sigma[9]","LL_Level2Sigma[9]","UL_Level2Sigma[9]","cFlag_Level2Sigma[9]","pFlag_Level2Sigma[9]","Tru_Level2Sigma[10]","Est_Level2Sigma[10]","se_Level2Sigma[10]","LL_Level2Sigma[10]","UL_Level2Sigma[10]","cFlag_Level2Sigma[10]","pFlag_Level2Sigma[10]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
1,10,9.9356,0.0983,9.7438,10.1273,1,1,3,3.0307,0.0549,2.9234,3.1396,1,1,1,1.007,0.0167,0.9747,1.0401,1,1,8,7.8829,0.0855,7.7138,8.0493,1,1,2.5,2.5196,0.0463,2.43,2.6112,1,1,0.8,0.8117,0.016,0.7804,0.8435,1,1,0.3,0.2798,0.0136,0.2531,0.3061,1,1,0.2,0.2202,0.0124,0.1961,0.2445,1,1,-0.15,-0.1856,0.0122,-0.2092,-0.1614,0,1,-0.1,-0.0862,0.0117,-0.1092,-0.063,1,1,2,2.0387,0.0703,1.906,2.1811,1,1,0.5,0.5455,0.0471,0.4537,0.6385,1,1,0.2,0.2071,0.013,0.182,0.2332,1,1,1.5,1.6292,0.0589,1.5177,1.7472,0,1,0.4,0.3896,0.0349,0.3224,0.4586,1,1,0.15,0.1414,0.0136,0.1147,0.1677,1,1,0.1,0.1387,0.016,0.107,0.1693,0,1,0.1,0.1101,0.0167,0.0772,0.1419,1,1,0.1,0.1144,0.0176,0.0782,0.1478,1,1,0.1,0.0805,0.0175,0.0473,0.1151,1,1,1,1.0041,0.0139,0.9771,1.0318,1,1,1,0.9957,0.0137,0.9693,1.0231,1,1,0.3,0.2999,0.0099,0.2806,0.3195,1,1,0.3,0.2999,0.0099,0.2806,0.3195,1,1
2,10,10.1343,0.0989,9.9421,10.3279,1,1,3,2.978,0.0525,2.8754,3.0829,1,1,1,1.0023,0.0158,0.971,1.0331,1,1,8,7.9556,0.0831,7.7931,8.1187,1,1,2.5,2.5022,0.047,2.4127,2.5962,1,1,0.8,0.7849,0.0162,0.7536,0.8174,1,1,0.3,0.3,0.0121,0.2765,0.3242,1,1,0.2,0.2002,0.012,0.1765,0.2237,1,1,-0.15,-0.1403,0.0119,-0.1637,-0.1167,1,1,-0.1,-0.0914,0.0116,-0.1136,-0.0683,1,1,2,2.0728,0.0702,1.9403,2.2144,1,1,0.5,0.5153,0.0438,0.4303,0.6017,1,1,0.2,0.1833,0.0123,0.1598,0.2078,1,1,1.5,1.4948,0.0579,1.3848,1.612,1,1,0.4,0.4571,0.0351,0.3901,0.5276,1,1,0.15,0.1504,0.0124,0.126,0.1743,1,1,0.1,0.0827,0.017,0.0503,0.1163,1,1,0.1,0.0813,0.0155,0.0527,0.1125,1,1,0.1,0.0814,0.0172,0.05,0.1163,1,1,0.1,0.0774,0.0169,0.0467,0.1117,1,1,1,1.0016,0.0137,0.9752,1.029,1,1,1,1.0234,0.0139,0.9966,1.051,1,1,0.3,0.3026,0.0101,0.283,0.3225,1,1,0.3,0.3026,0.0101,0.283,0.3225,1,1
3,10,9.8352,0.1005,9.6389,10.0306,1,1,3,2.9587,0.0547,2.8527,3.069,1,1,1,0.9906,0.0169,0.9581,1.024,1,1,8,8.0438,0.0834,7.8826,8.2104,1,1,2.5,2.4989,0.0451,2.4127,2.5897,1,1,0.8,0.776,0.0157,0.7456,0.8073,1,1,0.3,0.2922,0.0127,0.2672,0.3169,1,1,0.2,0.2131,0.0123,0.1891,0.2377,1,1,-0.15,-0.1554,0.0118,-0.1786,-0.1327,1,1,-0.1,-0.0945,0.0114,-0.1167,-0.0725,1,1,2,2.0815,0.0711,1.9467,2.2243,1,1,0.5,0.4909,0.0426,0.4081,0.5751,1,1,0.2,0.1982,0.0121,0.1752,0.222,1,1,1.5,1.4673,0.0557,1.3609,1.5794,1,1,0.4,0.4179,0.0344,0.3503,0.4858,1,1,0.15,0.1422,0.0121,0.1186,0.166,1,1,0.1,0.1081,0.0176,0.0719,0.1418,1,1,0.1,0.1036,0.0178,0.0678,0.1382,1,1,0.1,0.0918,0.0181,0.0564,0.1265,1,1,0.1,0.0653,0.0135,0.0421,0.0937,0,1,1,1.0023,0.0138,0.9756,1.0295,1,1,1,1.028,0.0142,1.0002,1.0561,0,1,0.3,0.2907,0.0101,0.271,0.3105,1,1,0.3,0.2907,0.0101,0.271,0.3105,1,1
4,10,10.0139,0.0942,9.8288,10.1984,1,1,3,3.0598,0.0579,2.9493,3.1766,1,1,1,1.0353,0.0172,1.0021,1.0695,0,1,8,7.9646,0.0764,7.8135,8.1139,1,1,2.5,2.5677,0.0464,2.4783,2.6584,1,1,0.8,0.8366,0.0152,0.8072,0.8659,0,1,0.3,0.299,0.0121,0.2748,0.3222,1,1,0.2,0.2005,0.0119,0.1773,0.224,1,1,-0.15,-0.1642,0.0125,-0.1885,-0.1394,1,1,-0.1,-0.1051,0.0119,-0.1282,-0.0818,1,1,2,1.9696,0.0672,1.8426,2.1068,1,1,0.5,0.553,0.0496,0.4539,0.6503,1,1,0.2,0.2038,0.0133,0.1781,0.2302,1,1,1.5,1.4702,0.0529,1.3696,1.577,1,1,0.4,0.4281,0.0354,0.3583,0.4971,1,1,0.15,0.1291,0.0133,0.101,0.1535,1,1,0.1,0.0664,0.014,0.0416,0.0959,0,1,0.1,0.0757,0.0164,0.0467,0.1096,1,1,0.1,0.1274,0.0164,0.0947,0.1583,1,1,0.1,0.0948,0.0179,0.0591,0.1293,1,1,1,1.0148,0.0139,0.9877,1.0426,1,1,1,1.0004,0.0137,0.9737,1.0272,1,1,0.3,0.3092,0.01,0.2896,0.3291,1,1,0.3,0.3092,0.01,0.2896,0.3291,1,1
5,10,9.9008,0.0983,9.7097,10.0935,1,1,3,3.1223,0.0587,3.0086,3.2405,0,1,1,1.0341,0.0177,0.9996,1.069,1,1,8,8.0036,0.0781,7.8515,8.1581,1,1,2.5,2.5159,0.0468,2.4269,2.6108,1,1,0.8,0.8043,0.0157,0.7741,0.8356,1,1,0.3,0.3081,0.0129,0.2828,0.3333,1,1,0.2,0.202,0.0125,0.1773,0.2266,1,1,-0.15,-0.1498,0.0117,-0.1724,-0.1267,1,1,-0.1,-0.0837,0.0116,-0.1064,-0.0609,1,1,2,2.025,0.0702,1.893,2.168,1,1,0.5,0.4703,0.0528,0.3698,0.5756,1,1,0.2,0.2165,0.0128,0.1914,0.2417,1,1,1.5,1.4374,0.055,1.3322,1.548,1,1,0.4,0.4744,0.0363,0.4065,0.5479,0,1,0.15,0.1465,0.0136,0.1198,0.1734,1,1,0.1,0.1133,0.0174,0.0775,0.1461,1,1,0.1,0.1122,0.0176,0.0762,0.1458,1,1,0.1,0.0893,0.018,0.0555,0.1248,1,1,0.1,0.0846,0.0173,0.0523,0.119,1,1,1,1.0173,0.0141,0.9899,1.0452,1,1,1,1.0164,0.0141,0.989,1.0443,1,1,0.3,0.2856,0.0101,0.2657,0.3055,1,1,0.3,0.2856,0.0101,0.2657,0.3055,1,1
6,10,10.0498,0.0982,9.8586,10.2421,1,1,3,2.9788,0.0546,2.8779,3.0893,1,1,1,1.0037,0.0168,0.972,1.0381,1,1,8,8.0049,0.0828,7.8435,8.1684,1,1,2.5,2.589,0.0471,2.4976,2.683,1,1,0.8,0.8149,0.0156,0.7838,0.8456,1,1,0.3,0.2973,0.0125,0.273,0.3219,1,1,0.2,0.2154,0.0119,0.1922,0.2381,1,1,-0.15,-0.1637,0.0113,-0.1865,-0.1416,1,1,-0.1,-0.0886,0.0119,-0.1125,-0.0652,1,1,2,2.0428,0.0691,1.9133,2.1833,1,1,0.5,0.4822,0.0447,0.3962,0.5708,1,1,0.2,0.1937,0.0121,0.1704,0.218,1,1,1.5,1.5294,0.0612,1.4114,1.6511,1,1,0.4,0.4484,0.038,0.3734,0.5239,1,1,0.15,0.153,0.015,0.1239,0.1813,1,1,0.1,0.0761,0.016,0.0476,0.1079,1,1,0.1,0.0811,0.0173,0.0497,0.116,1,1,0.1,0.0612,0.0124,0.04,0.0888,0,1,0.1,0.0969,0.018,0.062,0.1324,1,1,1,1.0062,0.0138,0.9796,1.0338,1,1,1,0.9983,0.0136,0.972,1.0254,1,1,0.3,0.2952,0.01,0.2759,0.315,1,1,0.3,0.2952,0.01,0.2759,0.315,1,1
7,10,9.9794,0.0914,9.8011,10.1583,1,1,3,3.0926,0.0548,2.9865,3.2013,1,1,1,1.0277,0.0164,0.9956,1.0603,1,1,8,7.9864,0.08,7.8283,8.1427,1,1,2.5,2.4992,0.0436,2.4165,2.5864,1,1,0.8,0.7969,0.0152,0.7677,0.8269,1,1,0.3,0.2804,0.0123,0.256,0.3044,1,1,0.2,0.2138,0.0126,0.1894,0.2384,1,1,-0.15,-0.158,0.0121,-0.182,-0.1347,1,1,-0.1,-0.1128,0.0122,-0.137,-0.0892,1,1,2,1.9138,0.065,1.7897,2.0463,1,1,0.5,0.4776,0.049,0.3849,0.5766,1,1,0.2,0.1933,0.0122,0.1694,0.2173,1,1,1.5,1.4785,0.0564,1.3705,1.5925,1,1,0.4,0.4373,0.037,0.3653,0.5109,1,1,0.15,0.1569,0.013,0.1312,0.1819,1,1,0.1,0.0749,0.0156,0.047,0.1078,1,1,0.1,0.0887,0.0177,0.0553,0.1249,1,1,0.1,0.0946,0.0183,0.0591,0.13,1,1,0.1,0.1199,0.0169,0.0861,0.1514,1,1,1,1.0119,0.014,0.9848,1.0395,1,1,1,1.0393,0.0143,1.0114,1.0677,0,1,0.3,0.3223,0.0103,0.3024,0.3426,0,1,0.3,0.3223,0.0103,0.3024,0.3426,0,1
8,10,9.9829,0.0962,9.7931,10.1715,1,1,3,2.977,0.0532,2.8748,3.082,1,1,1,0.9903,0.0162,0.9592,1.0228,1,1,8,7.8434,0.0825,7.6821,8.0041,1,1,2.5,2.5381,0.0475,2.4453,2.6318,1,1,0.8,0.7992,0.0162,0.7674,0.8312,1,1,0.3,0.3124,0.0125,0.2883,0.3371,1,1,0.2,0.223,0.0122,0.199,0.2468,1,1,-0.15,-0.1563,0.0112,-0.1782,-0.1341,1,1,-0.1,-0.0974,0.0124,-0.1218,-0.0731,1,1,2,1.9984,0.0687,1.8678,2.1385,1,1,0.5,0.5204,0.0461,0.4305,0.6093,1,1,0.2,0.1961,0.0127,0.1716,0.2214,1,1,1.5,1.5451,0.0574,1.4373,1.6618,1,1,0.4,0.4196,0.0365,0.3483,0.4913,1,1,0.15,0.1497,0.0135,0.1235,0.1758,1,1,0.1,0.0923,0.0173,0.0583,0.1265,1,1,0.1,0.1041,0.0191,0.065,0.14,1,1,0.1,0.0746,0.0155,0.0464,0.1064,1,1,0.1,0.1078,0.0189,0.0676,0.1419,1,1,1,1.0125,0.014,0.9853,1.0404,1,1,1,0.9968,0.0137,0.9701,1.0238,1,1,0.3,0.3086,0.0101,0.289,0.3285,1,1,0.3,0.3086,0.0101,0.289,0.3285,1,1
9,10,9.9903,0.0984,9.7983,10.1817,1,1,3,3.0025,0.0534,2.8977,3.1074,1,1,1,0.9958,0.0162,0.9643,1.0278,1,1,8,8.017,0.0794,7.8617,8.1726,1,1,2.5,2.5698,0.0462,2.482,2.6622,1,1,0.8,0.7987,0.0155,0.7689,0.8292,1,1,0.3,0.2925,0.0127,0.2675,0.3173,1,1,0.2,0.2022,0.0121,0.1787,0.2258,1,1,-0.15,-0.1331,0.012,-0.1565,-0.1096,1,1,-0.1,-0.0978,0.0124,-0.1221,-0.0734,1,1,2,2.056,0.07,1.9229,2.1983,1,1,0.5,0.4612,0.0454,0.3697,0.5484,1,1,0.2,0.1846,0.0119,0.1619,0.2079,1,1,1.5,1.455,0.056,1.3477,1.5664,1,1,0.4,0.4253,0.0344,0.3586,0.4949,1,1,0.15,0.1454,0.0125,0.1207,0.1699,1,1,0.1,0.1033,0.0177,0.0677,0.137,1,1,0.1,0.0859,0.0173,0.0546,0.1213,1,1,0.1,0.0966,0.0181,0.0625,0.1326,1,1,0.1,0.1142,0.0183,0.0758,0.1488,1,1,1,0.9995,0.0139,0.9726,1.0272,1,1,1,1.0102,0.0139,0.9833,1.0377,1,1,0.3,0.3017,0.01,0.2822,0.3216,1,1,0.3,0.3017,0.01,0.2822,0.3216,1,1
10,10,9.9475,0.0972,9.756,10.136,1,1,3,3.0067,0.0568,2.8958,3.1177,1,1,1,0.9977,0.0165,0.9657,1.0298,1,1,8,7.9873,0.0824,7.8267,8.1499,1,1,2.5,2.5323,0.0453,2.4464,2.6222,1,1,0.8,0.8157,0.0156,0.7855,0.8464,1,1,0.3,0.3152,0.0122,0.291,0.3388,1,1,0.2,0.2043,0.0122,0.1804,0.2282,1,1,-0.15,-0.1455,0.0119,-0.1687,-0.1223,1,1,-0.1,-0.1115,0.0119,-0.135,-0.0885,1,1,2,2.0437,0.0701,1.9115,2.1855,1,1,0.5,0.6089,0.0462,0.5174,0.7006,0,1,0.2,0.195,0.0131,0.1696,0.2211,1,1,1.5,1.5715,0.0561,1.4653,1.6847,1,1,0.4,0.4103,0.036,0.3412,0.4805,1,1,0.15,0.1516,0.0122,0.1279,0.1759,1,1,0.1,0.0723,0.0158,0.0434,0.1033,1,1,0.1,0.0905,0.0179,0.0557,0.126,1,1,0.1,0.1045,0.018,0.0675,0.1381,1,1,0.1,0.0889,0.0183,0.0545,0.1246,1,1,1,1.0208,0.0141,0.9938,1.0486,1,1,1,0.983,0.0136,0.9568,1.0102,1,1,0.3,0.278,0.0098,0.2587,0.2973,0,1,0.3,0.278,0.0098,0.2587,0.2973,0,1
