"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","DetectRate","MissingPer"
"Level2Mean[1]","Burst1_y1","3.38008587561722","3.362091","0.123954436659117","-0.005323792435874","0.123259137465288","0.121296","-0.0159269122408169","3.1373475","3.59974","0.93","1",NA,"1","0"
"Level2Mean[2]","Burst1_y2","2.6490919557642","2.637893","0.0770608789283411","-0.00422746962023307","0.0766268832945353","0.086737","0.13193955268419","2.5040925","2.7748175","0.99","1",NA,"1","0"
"Level2Mean[3]","Burst2_y1","6.5592497625802","6.516963","0.19448191643573","-0.00644689013390528","0.190785313611659","0.179517","-0.0590627936623847","6.1554875","6.8664225","0.93","1",NA,"1","0"
"Level2Mean[4]","Burst2_y2","4.79549474076678","4.783791","0.114999165070604","-0.002440570034888","0.114978392432068","0.124827","0.0856561599063131","4.55547","5.00709","0.95","1",NA,"1","0"
"Level2Mean[5]","Burst3_y1","8.41991048086296","8.369995","0.218164351590218","-0.00592826740574122","0.213447244860138","0.194537","-0.0885944668554015","7.975535","8.774905","0.93","1",NA,"1","0"
"Level2Mean[6]","Burst3_y2","6.27213639876793","6.257017","0.131653009954591","-0.0024105660028215","0.131440806706581","0.141625","0.0774812141571344","6.0188275","6.5155875","0.95","1",NA,"1","0"
"Level2Mean[7]","Burst4_y1","9.29394031721092","9.232823","0.209550389725385","-0.00657603934659919","0.201449393025904","0.198106","-0.0165966894994508","8.8794225","9.6363675","0.93","1",NA,"1","0"
"Level2Mean[8]","Burst4_y2","7.10490577112262","7.083687","0.132836954869321","-0.0029864957827958","0.131791924811251","0.147557","0.119620949548516","6.81795","7.302855","0.98","1",NA,"1","0"
"Level2Mean[9]","Burst5_y1","9.68083248283218","9.617124","0.220522407951613","-0.00658088887966563","0.212182886675575","0.199728","-0.0586988275572769","9.2230425","10.05584","0.91","1",NA,"1","0"
"Level2Mean[10]","Burst5_y2","7.54002818053297","7.515144","0.136379674822891","-0.00330027686066434","0.134765764858059","0.149842","0.111869918579243","7.2291025","7.7239775","0.96","1",NA,"1","0"
