"Parameter","Label","TrueValue"
"Level2Mean[1]","Intercept_Burst1_Y1",0
"Level2Mean[2]","Intercept_Burst1_Y2",1
"Level2Mean[3]","Intercept_Burst2_Y1",1
"Level2Mean[4]","Intercept_Burst2_Y2",1.5
"Level2Mean[5]","AR1",0.3
"Level2Mean[6]","AR2",0.2
"Level2Mean[7]","CR12",-0.15
"Level2Mean[8]","CR21",0
"Level2Sigma[1]","SD_Intercept_Burst1_Y1",1
"Level2Sigma[2]","SD_Intercept_Burst1_Y2",1
"Level2Sigma[3]","SD_Intercept_Burst2_Y1",1.5
"Level2Sigma[4]","SD_Intercept_Burst2_Y2",2
"Level2Sigma[5]","SD_AR1",0.1
"Level2Sigma[6]","SD_AR2",0.1
"Level2Sigma[7]","SD_CR12",0.1
"Level2Sigma[8]","SD_CR21",0.1
"sigma_innovation[1,1]","Var_Innovation_Y1",1
"sigma_innovation[2,2]","Var_Innovation_Y2",1
"sigma_innovation[1,2]","Cov_Innovation",0.3
