"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]","Burst1_y1","0","-0.007621","0.116516668764602",NA,"0.116852900963717","0.123464","0.0565762508398082","-0.2388575","0.1929075","0.97",NA,"0.03","0"
"Level2Mean[2]","Burst1_y2","1","0.999674","0.110845442847237","-0.000325999999999937","0.111403379906291","0.120385","0.0806225098490171","0.809915","1.2169925","0.96","1",NA,"0"
"Level2Mean[3]","Burst2_y1","1","0.998644","0.166923058922367","-0.00135600000000002","0.167758450882286","0.166009","-0.0104283919712231","0.6400375","1.32877","0.95","1",NA,"0"
"Level2Mean[4]","Burst2_y2","1.5","1.457593","0.233717369273231","-0.0282713333333334","0.230995769454898","0.210803","-0.0874161873290977","0.9337575","1.83338","0.94","1",NA,"0"
"Level2Mean[5]","AR1","0.3","0.274744","0.118422857590923","-0.0841866666666667","0.116281214616667","0.115229","-0.00904887879039888","0.033325","0.4979025","0.94","0.67",NA,"0"
"Level2Mean[6]","AR2","0.2","0.208991","0.110751153944327","0.044955","0.110941699217438","0.111618","0.00609600165972124","-0.0042375","0.42639","0.99","0.42",NA,"0"
"Level2Mean[7]","CR_y1toy2","-0.15","-0.148047","0.0770794855976608","-0.0130199999999999","0.0774429271180142","0.095079","0.227729936590729","-0.2876325","-0.00234750000000007","0.98","0.33",NA,"0"
"Level2Mean[8]","CR_y2toy1","0","0.018136","0.0814782130388241",NA,"0.0798343278485534","0.086083","0.078270492403975","-0.13138","0.186575","0.93",NA,"0.07","0"
"Level2Sigma[1]","SD_Burst1_y1","1","0.994549","0.121510775242363","-0.00545099999999998","0.121999979711043","0.119635","-0.0193850828225106","0.779315","1.250355","0.92","1",NA,"0"
"Level2Sigma[2]","SD_Burst1_y2","1","0.979159","0.115367073725565","-0.020841","0.114040637887987","0.114988","0.00830723266335519","0.723815","1.168355","0.95","1",NA,"0"
"Level2Sigma[3]","SD_Burst2_y1","1.5","1.489421","0.134985755174389","-0.0070526666666666","0.135248513720619","0.137261","0.0148799141966067","1.217385","1.7109475","0.95","1",NA,"0"
"Level2Sigma[4]","SD_Burst2_y2","2","1.988272","0.156530027151342","-0.00586399999999998","0.156876401892404","0.16085","0.0253294826988785","1.6731025","2.25773","0.94","1",NA,"0"
"Level2Sigma[5]","SD_AR1","0.1","0.122426","0.0311016333976208","0.22426","0.0216581830477372","0.056349","1.6017417931966","0.100685","0.1818025","1","1",NA,"0"
"Level2Sigma[6]","SD_AR2","0.1","0.125933","0.0322574007012344","0.25933","0.0192804766224251","0.059848","2.10407264156484","0.1033","0.17326","1","1",NA,"0"
"Level2Sigma[7]","SD_CR_y1toy2","0.1","0.133263","0.0417843092559875","0.33263","0.0254157616530381","0.065985","1.59622359151737","0.1037875","0.1930575","1","1",NA,"0"
"Level2Sigma[8]","SD_CR_y2toy1","0.1","0.127835","0.0372055305028701","0.27835","0.0248117004616366","0.059911","1.41462692541502","0.1044475","0.1935825","1","1",NA,"0"
"sigma_innovation[1,1]","InnoVar_y1","1","0.978575","0.106526502336273","-0.021425","0.104875419480025","0.101115","-0.0358560613980742","0.7960675","1.20017","0.94","1",NA,"0"
"sigma_innovation[2,2]","InnoVar_y2","1","1.008568","0.107801600173652","0.00856799999999991","0.108001937767876","0.102235","-0.0533966138669719","0.80316","1.21596","0.95","1",NA,"0"
"sigma_innovation[1,2]","InnoCov","0.3","0.300749","0.0657859764691534","0.00249666666666667","0.0661131086117045","0.069224","0.0470540782852373","0.18539","0.4233975","0.98","1",NA,"0"
"sigma_innovation[2,1]","InnoCov_dup","0.3","0.300749","0.0657859764691534","0.00249666666666667","0.0661131086117045","0.069224","0.0470540782852373","0.18539","0.4233975","0.98","1",NA,"0"
